#{"t_start": 1631093261.7550159, "env_id": null}
r,l,t
474.776304,138,2929.490604
130.767022,952,2967.218244
194.420032,99,2971.174649
-182.66084,93,2975.284833
186.054557,231,2984.599685
224.399882,349,2998.552094
-209.365381,30,2999.958319
404.600896,174,3006.877829
229.813506,692,3034.796874
-98.660373,43,3036.642304
221.610347,354,3050.862468
-92.082467,524,3071.854762
256.988995,178,3079.106861
320.936418,542,3100.649125
424.796684,252,3110.701766
334.367404,78,3113.847936
131.017237,563,3136.775682
682.739035,417,3153.538242
-295.302945,115,3158.352452
-582.712043,337,3172.390506
221.853541,222,3181.23759
447.654647,87,3184.742231
467.003648,866,3220.086072
182.637156,398,3235.877384
-971.945562,1222,3284.595608
251.458332,69,3287.36426
393.412962,1500,3347.375067
318.946548,430,3364.724211
-157.993173,17,3365.533745
335.700569,194,3373.374536
200.822261,99,3377.383268
-430.763832,340,3391.521381
307.776754,303,3404.009909
-443.058065,227,3413.877776
-266.108155,169,3421.629095
295.131709,107,3426.265915
8.708156,1500,3486.672956
-178.340079,174,3493.975408
-263.81218,269,3505.201226
193.076167,1500,3564.729198
-794.485309,1399,3620.066454
-275.605013,114,3624.757331
646.365606,887,3660.378382
-268.310197,47,3662.368376
-256.865087,275,3673.784132
47.850932,526,3694.769793
13.110471,1500,3753.844617
-352.513142,1500,3813.292894
277.868053,101,3817.263019
-305.362018,136,3822.950072
359.452455,53,3825.093744
382.829259,476,3843.956417
-232.92805,377,3859.168631
120.094239,940,3896.214888
247.839512,173,3903.805843
266.007468,414,3920.211488
633.588218,91,3923.89044
275.606725,164,3930.344759
248.266888,875,3964.586295
769.342923,278,3975.642745
376.009601,249,3985.489741
303.426615,135,3990.791136
171.567696,683,4017.509098
-596.433366,996,4057.62466
496.033696,494,4076.971078
-214.080724,599,4101.216476
457.64946,519,4121.885024
479.268302,506,4141.887276
420.310065,1475,4199.801817
235.350219,1382,4254.466691
-113.274463,1500,4314.073376
325.85273,181,4321.321679
285.150765,41,4322.951378
44.863357,294,4334.792687
-50.436947,1500,4394.084073
286.571113,1500,4453.098464
473.769863,189,4460.554977
-149.69534,101,4464.749108
28.544786,1500,4523.927573
316.490158,599,4547.698089
377.089361,359,4561.868532
-72.577104,1500,4621.187116
-251.067848,614,4645.661785
-144.659588,1500,4704.321624
428.770734,831,4736.840575
400.092028,637,4762.168046
-333.56098,130,4767.514083
351.674996,115,4772.058265
-80.455756,1500,4830.917064
-230.183536,942,4868.665891
177.313637,371,4883.27331
222.798916,241,4892.799695
-279.637477,593,4916.764479
272.092459,1500,4976.594831
447.628221,468,4995.177276
241.658022,1500,5054.100415
535.438793,245,5063.739232
292.426691,167,5070.368382
326.063837,1500,5129.648421
308.243601,1500,5188.381065
-105.1835,411,5205.943329
584.314121,197,5213.909818
622.257137,428,5230.698429
176.270167,633,5255.480859
359.387342,183,5262.689345
420.150286,151,5268.635942
-146.019197,52,5271.017191
565.500208,178,5278.079244
239.429543,88,5281.591545
737.78781,792,5312.637968
400.3622,112,5317.046509
459.450011,281,5328.202293
435.552003,211,5336.460858
735.561404,136,5341.814677
-141.035677,21,5342.784861
-381.524411,517,5364.611336
388.783356,781,5395.26163
263.505101,157,5401.456206
248.092886,375,5416.142172
292.184966,132,5421.377462
195.499835,326,5434.232548
414.48292,114,5438.782941
296.984721,222,5447.812803
384.817093,289,5459.192907
-210.655709,1500,5518.307166
215.791973,392,5534.105511
